chr1A	210200000	215800000
chr1B	237700000	243500000
chr1D	166200000	173800000
chr2A	326300000	359500000
chr2B	344400000	351300000
chr2D	264400000	272500000
chr3A	316900000	319900000
chr3B	345800000	349000000
chr3D	237100000	243200000
chr4A	264100000	267900000
chr4B	303900000	319600000
chr4D	182300000	188200000
chr5A	248700000	255100000
chr5B	198900000	202500000
chr5D	185600000	188700000
chr6A	283300000	292500000
chr6B	323000000	327500000
chr6D	211900000	217400000
chr7A	360200000	363800000
chr7B	288200000	310100000
chr7D	336300000	341700000
